text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
: @gmulder your TwapperKeeper hashtag notebook #dtpi is ready for download at http://export.twapperkeeper.com/dtpi-4ba39c18a55fc.tar,,TwapperKeeperEX,10728302071,97174614,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Kickstart your last day w/ our panel that unpicks #designthinking. Tues Ballroom B 9.30am http://bit.ly/dBoaNz #sxsw #dtpi,,nickycast,10571673729,3667920,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/447302965/NickyIconSq1_normal,,0,0,Tue 16 Mar 2010 14:17:51 +0000,1268749071
morning #sxsw first up is Design Thinking Promoting Innovation #dtpi,,warpdesign,10572154801,343994,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/303753723/ls_4089_rolando_rolandomendez.com_12ba29ab_normal.jpg,,0,0,Tue 16 Mar 2010 14:29:34 +0000,1268749774
watching cool vid #dtpi,,schnee,10572162443,360526,en,&lt;a href=&quot;http://www.tweetdeck.com/&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/60773969/schneeman_normal.jpg,,0,0,Tue 16 Mar 2010 14:29:45 +0000,1268749785
#dtpi session - on Design thinking.,,SuziDafnis,10572301629,744060,en,&lt;a href=&quot;http://www.seesmic.com/&quot; rel=&quot;nofollow&quot;&gt;Seesmic&lt;/a&gt;,http://a1.twimg.com/profile_images/55719992/suzi_dafnis-1_normal.jpg,,0,0,Tue 16 Mar 2010 14:33:04 +0000,1268749984
#dtpi design thinking promotes innovation panel starts,,rolandk,10572303390,4888234,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/754253581/brain_normal.jpg,,0,0,Tue 16 Mar 2010 14:33:07 +0000,1268749987
at &quot;Do evolutions in design thinking promote innovation?&quot; #sxswi #dtpi,,vertstudios,10572309870,97612900,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/703874929/twitter_icon_normal.jpg,,0,0,Tue 16 Mar 2010 14:33:16 +0000,1268749996
In @nickycast's panel on innovation and design thinking #dtpi #sxsw,,johannakoll,10572353228,4815565,en,&lt;a href=&quot;http://www.seesmic.com/&quot; rel=&quot;nofollow&quot;&gt;Seesmic&lt;/a&gt;,http://a3.twimg.com/profile_images/294509923/vinterested_normal.png,,0,0,Tue 16 Mar 2010 14:34:17 +0000,1268750057
Also at  RT @vertstudios at &quot;Do evolutions in design thinking promote innovation?&quot; #sxswi #dtpi,,robertjustjones,10572363999,47593443,en,&lt;a href=&quot;http://twitterrific.com&quot; rel=&quot;nofollow&quot;&gt;Twitterrific&lt;/a&gt;,http://a1.twimg.com/profile_images/542031346/RJ-bw_normal.jpg,,0,0,Tue 16 Mar 2010 14:34:33 +0000,1268750073
#dtpi instead of the ungodly #designthinkpromoteinnovation at #SXSW,,Tink,10572388577,398488,en,&lt;a href=&quot;http://www.atebits.com/&quot; rel=&quot;nofollow&quot;&gt;Tweetie&lt;/a&gt;,http://a1.twimg.com/profile_images/96005010/head2_normal.gif,,0,0,Tue 16 Mar 2010 14:35:09 +0000,1268750109
Cool youtube at #dtpi  where can we find it?,,robertlive,10572395670,1517367,en,&lt;a href=&quot;http://echofon.com/&quot; rel=&quot;nofollow&quot;&gt;Echofon&lt;/a&gt;,http://a1.twimg.com/profile_images/450404680/pasfoto-cas-small_normal.jpg,,0,0,Tue 16 Mar 2010 14:35:19 +0000,1268750119
#dtpi does market thinking  promote innovation more than design thinking?,,rolandk,10572397055,4888234,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/754253581/brain_normal.jpg,,0,0,Tue 16 Mar 2010 14:35:21 +0000,1268750121
Interesting session on: Do Evolutions in Design Thinking Promote Innovation? #dtpi #sxsw,,mosaicmoon,10572419430,186280,en,&lt;a href=&quot;http://www.atebits.com/&quot; rel=&quot;nofollow&quot;&gt;Tweetie&lt;/a&gt;,http://a3.twimg.com/profile_images/271981099/squarephoto_normal.jpg,,0,0,Tue 16 Mar 2010 14:35:52 +0000,1268750152
#dtpi  theo jansen - kinetic sculptur,,rolandk,10572427554,4888234,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/754253581/brain_normal.jpg,,0,0,Tue 16 Mar 2010 14:36:04 +0000,1268750164
