text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
#viznotes - still looking for some more resources on techniques for visual note taking [ as far as drawing etc...],,uidesignguide,10571230010,23877922,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
#viznotes from @jmspool preso yesterday: "Revealing Design Treasures from the Amazon ": http://bit.ly/ac2Isb #vizthink #sketchnotearmy,,deanmeistr,10569193476,5271891,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @deanmeistr: @jmspool said he would like to have this tee shirt made. http://bit.ly/avcs9V #viznotes #sxsw #sxswi,,dafark8,10573133320,17200169,en,<a href="http://www.brizzly.com" rel="nofollow">Brizzly</a>,,,0,0,0,0
Thanks to everyone who came you my #viznotes panel with @austinkleon @rohdesign & @sunnibrown -- you made it a rawking success! #vizthink,,davegray,10574272830,456,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
RT @davegray For those who enjoyed #visualnotetaking panel check out the #viznotes #vizthink and #kgames (knowledge games) tags on Twitter,,darthjulian,10574517574,185383,en,<a href="http://www.nibirutech.com" rel="nofollow">TwitBird iPhone</a>,,,0,0,0,0
RT @davegray For those who enjoyed #visualnotetaking panel check out the #viznotes #vizthink and #kgames (knowledge games) tags on Twitter,,nearfuturelab,10574524844,11062822,en,<a href="http://www.nibirutech.com" rel="nofollow">TwitBird iPhone</a>,,,0,0,0,0
RT @deanmeistr: @jmspool said he would like to have this tee shirt made. http://bit.ly/avcs9V #viznotes #sxsw #sxswi,,jmspool,10579547883,849101,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @jmspool: RT @deanmeistr: @jmspool said he would like to have this tee shirt made. http://bit.ly/avcs9V #viznotes #sxsw &gt; hilarious,,marcykellar,10579763765,14884753,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
notes from canvas v flash panel - jury is out still - #canvasendflash #viznotes  http://twitpic.com/18z76p,,hemeon,10581901761,19010715,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
More stuff seen/heard at SxSW yesterday http://bit.ly/aBSxeR #sxsw #humor #viznotes,,deanmeistr,10582304658,5271891,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@davegray great meeting you yesterday and thanks for a fantastic #viznotes panel with @austinkleon @sunnibrown and @rohdesign!,456,TeecycleTim,10584586410,10260682,en,web,,,0,0,0,0
#viznotes - still looking for some more resources on techniques for visual note taking [ as far as drawing etc...],,uidesignguide,10571230010,23877922,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
#viznotes from @jmspool preso yesterday: "Revealing Design Treasures from the Amazon ": http://bit.ly/ac2Isb #vizthink #sketchnotearmy,,deanmeistr,10569193476,5271891,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @deanmeistr: @jmspool said he would like to have this tee shirt made. http://bit.ly/avcs9V #viznotes #sxsw #sxswi,,dafark8,10573133320,17200169,en,<a href="http://www.brizzly.com" rel="nofollow">Brizzly</a>,,,0,0,0,0
Thanks to everyone who came you my #viznotes panel with @austinkleon @rohdesign & @sunnibrown -- you made it a rawking success! #vizthink,,davegray,10574272830,456,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
RT @davegray For those who enjoyed #visualnotetaking panel check out the #viznotes #vizthink and #kgames (knowledge games) tags on Twitter,,darthjulian,10574517574,185383,en,<a href="http://www.nibirutech.com" rel="nofollow">TwitBird iPhone</a>,,,0,0,0,0
RT @davegray For those who enjoyed #visualnotetaking panel check out the #viznotes #vizthink and #kgames (knowledge games) tags on Twitter,,nearfuturelab,10574524844,11062822,en,<a href="http://www.nibirutech.com" rel="nofollow">TwitBird iPhone</a>,,,0,0,0,0
#viznotes - something the newspaper industry should explore more RT @austinkleon tweets from SXSW panel here: http://bit.ly/d3kWD,,lalorek,10623609894,11948892,en,web,,,0,0,0,0
#viznotes is something the newspaper industry should explore more RT @austinkleon tweets from SXSW panel here: http://bit.ly/d3kWD5,,lalorek,10623570805,11948892,en,web,,,0,0,0,0
@saintsal Hey man we met in the Beacon Lounge and I just tracked you down via the #viznotes backchannel. Hi again!,14786943,TeecycleTim,10629229851,10260682,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
"No matter how great you are the blank page is terrifying. Just make a damn mark and get on with it." - @austinkleon #viznotes,,TeecycleTim,10629540693,10260682,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
@austinkleon Wrote that down in my handy #viznotes book  and finally got around to tweeting it. Including it in a preso for my office too.,9698942,TeecycleTim,10629957056,10260682,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
Bumped into @rohdesign whilst shopping for gifts at Austin airport. Gave him due kudos & thx for  #viznotes session at #sxswi,,KeithPearce,10631022388,15664069,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Can u find me in this pic by @austinkleon of all the ppl at #viznotes #sxsw panel http://twitpic.com/18szik (via @rohdesign),,soupiset,10634051282,14079074,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @deanmeistr: @jmspool said he would like to have this tee shirt made. http://bit.ly/avcs9V #viznotes #sxsw #sxswi,,jmspool,10579547883,849101,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @jmspool: RT @deanmeistr: @jmspool said he would like to have this tee shirt made. http://bit.ly/avcs9V #viznotes #sxsw &gt; hilarious,,marcykellar,10579763765,14884753,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
notes from canvas v flash panel - jury is out still - #canvasendflash #viznotes  http://twitpic.com/18z76p,,hemeon,10581901761,19010715,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
More stuff seen/heard at SxSW yesterday http://bit.ly/aBSxeR #sxsw #humor #viznotes,,deanmeistr,10582304658,5271891,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@davegray great meeting you yesterday and thanks for a fantastic #viznotes panel with @austinkleon @sunnibrown and @rohdesign!,456,TeecycleTim,10584586410,10260682,en,web,,,0,0,0,0
Future of Music Delivery #viznotes by http://boldmusecreative.com  #sxsw,,deanmeistr,10589047354,5271891,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
#viznotes-Future of Music Delivery by http://www.boldmusecreative.com http://tweetphoto.com/14644403,,deanmeistr,10589205459,5271891,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Why buy a really expensive badge to SXSWi?  #viznotes #digitaldivide #dtpi #interinfo #dfds #nostraightlines #dangerouscurves,,HastingsCJ,10590113801,103067219,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@villetikkanen Good stuff from SXSWi: #viznotes #digitaldivide #dtpi #interinfo #dfds #nostraightlines #dangerouscurves,14470834,vuokko,10590283878,10832152,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
@hemeon Dude your flash #viznotes are killing it. Get home safe so we can nerd out online.,19010715,kylesteed,10594080712,1572601,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
@hemeon Dude your flash #viznotes are killing it. Get home safe so we can nerd out online.,19010715,kylesteed,10594080712,1572601,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
Went to #viznotes panel yesterday but did not get book given out then saw @austinkleon today and he gave me one. Thanks so much Austin!,,aolanoff,10594110007,28464186,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Went to #viznotes panel yesterday but did not get book given out then saw @austinkleon today and he gave me one. Thanks so much Austin!,,aolanoff,10594110007,28464186,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Reviewing all my #viznotes from #SXSWi ... my mind says work but my body says rest.,,kylesteed,10595770098,1572601,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
Reviewing all my #viznotes from #SXSWi ... my mind says work but my body says rest.,,kylesteed,10595770098,1572601,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
Holy cats! Check out this pic by @austinkleon of all the folks at #viznotes #sxsw panel http://twitpic.com/18szik (via @rohdesign),,davegray,10602715555,456,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
