text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
#xinnovate #dg: App Store referral apps: Chained Payments (hold back a percentage for facilitating the payment),,schnee,28826218112,360526,en,&lt;a href=&quot;https://chrome.google.com/extensions/detail/encaiiljifbdbjlphpgpiimidegddhic&quot; rel=&quot;nofollow&quot;&gt;Chromed Bird&lt;/a&gt;,http://a1.twimg.com/profile_images/60773969/schneeman_normal.jpg,,0,0,Tue 26 Oct 2010 21:18:22 +0000,1288127902
Great interview!! RT @PayPalX: Bling founders at Innovate2010 http://www.youtube.com/watch?v=_ia8fSG46DE #xinnovate ^PA,,blingnation,28826243044,26068502,sv,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/697554901/screen_rgb_normal.jpg,,0,0,Tue 26 Oct 2010 21:18:44 +0000,1288127924
Patrick Peters of fourthwall media being interviewed @ #XInnovate  http://plixi.com/p/53065854,,corsher,28826264289,29644224,en,&lt;a href=&quot;http://www.echofon.com/&quot; rel=&quot;nofollow&quot;&gt;Echofon&lt;/a&gt;,http://a2.twimg.com/profile_images/334921814/me_3_normal.jpg,,0,0,Tue 26 Oct 2010 21:19:03 +0000,1288127943
RT @PayPalx #xinnovate: Magento PayPal partner now fastest ecommerce platform in the world. 60K merchants (cont) http://tl.gd/6lt41q,,frogtwitt,28826277052,75327642,en,&lt;a href=&quot;http://twidroid.com&quot; rel=&quot;nofollow&quot;&gt;twidroid&lt;/a&gt;,http://a1.twimg.com/profile_images/497108145/Clouseau1_normal.jpg,,0,0,Tue 26 Oct 2010 21:19:13 +0000,1288127953
Different use cases for adaptive payments with DG being presented by Khurram happening in session 2007 #xinnovate ^SB,,paypalx,28826303885,34082541,en,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,http://a2.twimg.com/profile_images/328574854/PayPal_x_logo-square_normal.JPG,,0,0,Tue 26 Oct 2010 21:19:36 +0000,1288127976
#xinnovate RT @billboxit: &quot; Google App Engine for Businesses - definitely a technology to watch... &quot;,,paypalx,28826311800,34082541,en,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,http://a2.twimg.com/profile_images/328574854/PayPal_x_logo-square_normal.JPG,,0,0,Tue 26 Oct 2010 21:19:42 +0000,1288127982
Presenting now about Magento Mobile at #XInnovate @timschulz,,bobschwartz,28826343329,1040038,en,&lt;a href=&quot;http://twitter.com/&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/315804556/Hedadshot_bob_Casual060_normal.jpg,,0,0,Tue 26 Oct 2010 21:20:08 +0000,1288128008
RT @appcelerator: Appcelerator &amp; eBay/PayPal team up for Mobile Commerce. Join Titanium+Commerce beta today http://pitch.pe/97187. #xinnovate #mobilecommerce,,kaptencybear,28826363980,385721,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a2.twimg.com/profile_images/1130198370/must_normal.png,,0,0,Tue 26 Oct 2010 21:20:25 +0000,1288128025
RT @schnee marketplace social networking: Parallel Payments + chained payments. One buying exp for multiple payees  #xinnovate,,gonzif,28826396476,167692306,en,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,http://a1.twimg.com/profile_images/654195965/gon_facebook_profile_bis_normal.jpg,,0,0,Tue 26 Oct 2010 21:20:52 +0000,1288128052
RT @blingnation: Great interview!! RT @PayPalX: Bling founders at Innovate2010 http://www.youtube.com/watch?v=_ia8fSG46DE #xinnovate ^PA,,PRGauthier,28826408425,60614809,sv,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,http://a0.twimg.com/profile_images/416720668/Patrick_Gauthier_-small_normal.jpg,,0,0,Tue 26 Oct 2010 21:21:03 +0000,1288128063
#xinnovate hey i need to catch up with Aaron Kramer anyone seen him?,,katmatcreations,28826412713,30130551,en,&lt;a href=&quot;http://seesmic.com/app&quot; rel=&quot;nofollow&quot;&gt;Seesmic Web&lt;/a&gt;,http://a0.twimg.com/profile_images/577272156/twitterProfilePhoto_normal.jpg,,0,0,Tue 26 Oct 2010 21:21:06 +0000,1288128066
&quot;Mistakes can be really expensive (for entrepreneurs)&quot; in terms of dilution. #xinnovate,,venturedan,28826463533,108678055,en,&lt;a href=&quot;http://blackberry.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Twitter for BlackBerry®&lt;/a&gt;,http://a1.twimg.com/profile_images/472816161/Work_Photo_normal.jpg,,0,0,Tue 26 Oct 2010 21:21:50 +0000,1288128110
#xinnovate Djini needs your vote!  Visit us and pledge your support with an Orange Bracelet,,TheRealGregF,28826470341,153529494,en,&lt;a href=&quot;http://twitter.com/&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a3.twimg.com/profile_images/1152968891/djiniSignature_normal.png,,0,0,Tue 26 Oct 2010 21:21:56 +0000,1288128116
preapprovals that enable subscriptions Chained and Parallel payments comes to PayPal mobile payments library. #xinnovate ^ns,,tweetgates,28826496033,77020483,en,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,http://a0.twimg.com/profile_images/1134745328/NasaProfilePhoto_normal.JPG,,0,0,Tue 26 Oct 2010 21:22:17 +0000,1288128137
preapprovals that enable subscriptions Chained and Parallel payments comes to PayPal mobile payments library. #xinnovate ^ns,,paypalx,28826495367,34082541,en,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,http://a2.twimg.com/profile_images/328574854/PayPal_x_logo-square_normal.JPG,,0,0,Tue 26 Oct 2010 21:22:17 +0000,1288128137
Patrick Peters of Fourthwall chatting w/@shiralazar at #XInnovate Loving those Wicked Witch of the West socks!  http://post.ly/17Oto,,pcrampton,28826527690,3449676,en,&lt;a href=&quot;http://twitter.com/&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a3.twimg.com/profile_images/773990699/Me-2009_normal.jpg,,0,0,Tue 26 Oct 2010 21:22:45 +0000,1288128165
FourthWall's Patrick Peters with @shiralazar talking about the 'tv buy button' at #xinnovate http://twitpic.com/314gt4,,paypal,28826528657,168810,en,&lt;a href=&quot;http://twitpic.com&quot; rel=&quot;nofollow&quot;&gt;Twitpic&lt;/a&gt;,http://a1.twimg.com/profile_images/209341465/PayPal_logo2_normal.jpg,,0,0,Tue 26 Oct 2010 21:22:46 +0000,1288128166
